date,index,mc,year,loss_cover,month,type
2000-01-31,0,1,2000,0.0,1,real
2000-02-29,48,1,2000,0.00055239075,2,interpolate
2000-03-31,96,1,2000,0.0011047815,3,interpolate
2000-04-30,144,1,2000,0.00165717225,4,interpolate
2000-05-31,192,1,2000,0.002209563,5,interpolate
2000-06-30,240,1,2000,0.0027619537499999998,6,interpolate
2000-07-31,288,1,2000,0.0033143445,7,interpolate
2000-08-31,336,1,2000,0.00386673525,8,interpolate
2000-09-30,384,1,2000,0.004419126,9,interpolate
2000-10-31,432,1,2000,0.00497151675,10,interpolate
2000-11-30,480,1,2000,0.0055239074999999995,11,interpolate
2000-12-31,528,1,2000,0.00607629825,12,interpolate
2001-01-31,576,1,2001,0.006628689,1,real
2001-02-28,624,1,2001,0.0068418339166666665,2,interpolate
2001-03-31,672,1,2001,0.007054978833333334,3,interpolate
2001-04-30,720,1,2001,0.00726812375,4,interpolate
2001-05-31,768,1,2001,0.0074812686666666664,5,interpolate
2001-06-30,816,1,2001,0.007694413583333334,6,interpolate
2001-07-31,864,1,2001,0.0079075585,7,interpolate
2001-08-31,912,1,2001,0.008120703416666666,8,interpolate
2001-09-30,960,1,2001,0.008333848333333333,9,interpolate
2001-10-31,1008,1,2001,0.008546993249999999,10,interpolate
2001-11-30,1056,1,2001,0.008760138166666667,11,interpolate
2001-12-31,1104,1,2001,0.008973283083333334,12,interpolate
2002-01-31,1152,1,2002,0.009186428,1,real
2002-02-28,1200,1,2002,0.009433517916666667,2,interpolate
2002-03-31,1248,1,2002,0.009680607833333334,3,interpolate
2002-04-30,1296,1,2002,0.009927697749999999,4,interpolate
2002-05-31,1344,1,2002,0.010174787666666666,5,interpolate
2002-06-30,1392,1,2002,0.010421877583333333,6,interpolate
2002-07-31,1440,1,2002,0.0106689675,7,interpolate
2002-08-31,1488,1,2002,0.010916057416666666,8,interpolate
2002-09-30,1536,1,2002,0.011163147333333333,9,interpolate
2002-10-31,1584,1,2002,0.01141023725,10,interpolate
2002-11-30,1632,1,2002,0.011657327166666665,11,interpolate
2002-12-31,1680,1,2002,0.011904417083333332,12,interpolate
2003-01-31,1728,1,2003,0.012151506999999999,1,real
2003-02-28,1776,1,2003,0.012486731333333332,2,interpolate
2003-03-31,1824,1,2003,0.012821955666666666,3,interpolate
2003-04-30,1872,1,2003,0.01315718,4,interpolate
2003-05-31,1920,1,2003,0.013492404333333333,5,interpolate
2003-06-30,1968,1,2003,0.013827628666666666,6,interpolate
2003-07-31,2016,1,2003,0.014162853,7,interpolate
2003-08-31,2064,1,2003,0.014498077333333333,8,interpolate
2003-09-30,2112,1,2003,0.014833301666666666,9,interpolate
2003-10-31,2160,1,2003,0.015168526,10,interpolate
2003-11-30,2208,1,2003,0.015503750333333333,11,interpolate
2003-12-31,2256,1,2003,0.015838974666666665,12,interpolate
2004-01-31,2304,1,2004,0.016174199,1,real
2004-02-29,2352,1,2004,0.016626186083333334,2,interpolate
2004-03-31,2400,1,2004,0.01707817316666667,3,interpolate
2004-04-30,2448,1,2004,0.01753016025,4,interpolate
2004-05-31,2496,1,2004,0.017982147333333334,5,interpolate
2004-06-30,2544,1,2004,0.018434134416666668,6,interpolate
2004-07-31,2592,1,2004,0.0188861215,7,interpolate
2004-08-31,2640,1,2004,0.019338108583333333,8,interpolate
2004-09-30,2688,1,2004,0.019790095666666667,9,interpolate
2004-10-31,2736,1,2004,0.02024208275,10,interpolate
2004-11-30,2784,1,2004,0.020694069833333335,11,interpolate
2004-12-31,2832,1,2004,0.021146056916666666,12,interpolate
2005-01-31,2880,1,2005,0.021598044,1,real
2005-02-28,2928,1,2005,0.0218721945,2,interpolate
2005-03-31,2976,1,2005,0.022146345,3,interpolate
2005-04-30,3024,1,2005,0.0224204955,4,interpolate
2005-05-31,3072,1,2005,0.022694646,5,interpolate
2005-06-30,3120,1,2005,0.0229687965,6,interpolate
2005-07-31,3168,1,2005,0.023242947,7,interpolate
2005-08-31,3216,1,2005,0.0235170975,8,interpolate
2005-09-30,3264,1,2005,0.023791248,9,interpolate
2005-10-31,3312,1,2005,0.0240653985,10,interpolate
2005-11-30,3360,1,2005,0.024339549,11,interpolate
2005-12-31,3408,1,2005,0.0246136995,12,interpolate
2006-01-31,3456,1,2006,0.02488785,1,real
2006-02-28,3504,1,2006,0.025111764583333335,2,interpolate
2006-03-31,3552,1,2006,0.025335679166666666,3,interpolate
2006-04-30,3600,1,2006,0.025559593749999998,4,interpolate
2006-05-31,3648,1,2006,0.025783508333333333,5,interpolate
2006-06-30,3696,1,2006,0.02600742291666667,6,interpolate
2006-07-31,3744,1,2006,0.0262313375,7,interpolate
2006-08-31,3792,1,2006,0.026455252083333332,8,interpolate
2006-09-30,3840,1,2006,0.026679166666666667,9,interpolate
2006-10-31,3888,1,2006,0.026903081250000002,10,interpolate
2006-11-30,3936,1,2006,0.027126995833333334,11,interpolate
2006-12-31,3984,1,2006,0.027350910416666666,12,interpolate
2007-01-31,4032,1,2007,0.027574825,1,real
2007-02-28,4080,1,2007,0.027848021166666667,2,interpolate
2007-03-31,4128,1,2007,0.028121217333333334,3,interpolate
2007-04-30,4176,1,2007,0.0283944135,4,interpolate
2007-05-31,4224,1,2007,0.028667609666666666,5,interpolate
2007-06-30,4272,1,2007,0.028940805833333333,6,interpolate
2007-07-31,4320,1,2007,0.029214002,7,interpolate
2007-08-31,4368,1,2007,0.029487198166666666,8,interpolate
2007-09-30,4416,1,2007,0.029760394333333332,9,interpolate
2007-10-31,4464,1,2007,0.0300335905,10,interpolate
2007-11-30,4512,1,2007,0.030306786666666665,11,interpolate
2007-12-31,4560,1,2007,0.03057998283333333,12,interpolate
2008-01-31,4608,1,2008,0.030853178999999998,1,real
2008-02-29,4656,1,2008,0.03131763991666667,2,interpolate
2008-03-31,4704,1,2008,0.031782100833333334,3,interpolate
2008-04-30,4752,1,2008,0.03224656175,4,interpolate
2008-05-31,4800,1,2008,0.032711022666666666,5,interpolate
2008-06-30,4848,1,2008,0.03317548358333333,6,interpolate
2008-07-31,4896,1,2008,0.0336399445,7,interpolate
2008-08-31,4944,1,2008,0.034104405416666664,8,interpolate
2008-09-30,4992,1,2008,0.03456886633333334,9,interpolate
2008-10-31,5040,1,2008,0.03503332725,10,interpolate
2008-11-30,5088,1,2008,0.03549778816666667,11,interpolate
2008-12-31,5136,1,2008,0.035962249083333335,12,interpolate
2009-01-31,5184,1,2009,0.03642671,1,real
2009-02-28,5232,1,2009,0.03667898025,2,interpolate
2009-03-31,5280,1,2009,0.0369312505,3,interpolate
2009-04-30,5328,1,2009,0.037183520750000004,4,interpolate
2009-05-31,5376,1,2009,0.037435791,5,interpolate
2009-06-30,5424,1,2009,0.03768806125,6,interpolate
2009-07-31,5472,1,2009,0.0379403315,7,interpolate
2009-08-31,5520,1,2009,0.03819260175,8,interpolate
2009-09-30,5568,1,2009,0.038444872,9,interpolate
2009-10-31,5616,1,2009,0.03869714225,10,interpolate
2009-11-30,5664,1,2009,0.0389494125,11,interpolate
2009-12-31,5712,1,2009,0.03920168275,12,interpolate
2010-01-31,5760,1,2010,0.039453953,1,real
2010-02-28,5808,1,2010,0.04005746583333333,2,interpolate
2010-03-31,5856,1,2010,0.04066097866666667,3,interpolate
2010-04-30,5904,1,2010,0.0412644915,4,interpolate
2010-05-31,5952,1,2010,0.041868004333333333,5,interpolate
2010-06-30,6000,1,2010,0.04247151716666667,6,interpolate
2010-07-31,6048,1,2010,0.04307503,7,interpolate
2010-08-31,6096,1,2010,0.043678542833333334,8,interpolate
2010-09-30,6144,1,2010,0.04428205566666667,9,interpolate
2010-10-31,6192,1,2010,0.0448855685,10,interpolate
2010-11-30,6240,1,2010,0.045489081333333334,11,interpolate
2010-12-31,6288,1,2010,0.04609259416666667,12,interpolate
2011-01-31,6336,1,2011,0.046696107,1,real
2011-02-28,6384,1,2011,0.04741617816666667,2,interpolate
2011-03-31,6432,1,2011,0.04813624933333333,3,interpolate
2011-04-30,6480,1,2011,0.0488563205,4,interpolate
2011-05-31,6528,1,2011,0.049576391666666664,5,interpolate
2011-06-30,6576,1,2011,0.05029646283333333,6,interpolate
2011-07-31,6624,1,2011,0.051016534,7,interpolate
2011-08-31,6672,1,2011,0.051736605166666665,8,interpolate
2011-09-30,6720,1,2011,0.052456676333333334,9,interpolate
2011-10-31,6768,1,2011,0.053176747499999996,10,interpolate
2011-11-30,6816,1,2011,0.053896818666666665,11,interpolate
2011-12-31,6864,1,2011,0.05461688983333333,12,interpolate
2012-01-31,6912,1,2012,0.055336961,1,real
2012-02-29,6960,1,2012,0.055455087,2,interpolate
2012-03-31,7008,1,2012,0.055573212999999996,3,interpolate
2012-04-30,7056,1,2012,0.055691339,4,interpolate
2012-05-31,7104,1,2012,0.055809464999999996,5,interpolate
2012-06-30,7152,1,2012,0.055927591,6,interpolate
2012-07-31,7200,1,2012,0.056045716999999995,7,interpolate
2012-08-31,7248,1,2012,0.056163843,8,interpolate
2012-09-30,7296,1,2012,0.056281969,9,interpolate
2012-10-31,7344,1,2012,0.056400095,10,interpolate
2012-11-30,7392,1,2012,0.056518221,11,interpolate
2012-12-31,7440,1,2012,0.056636347,12,interpolate
2013-01-31,7488,1,2013,0.056754473,1,real
2013-02-28,7536,1,2013,0.05698561283333333,2,interpolate
2013-03-31,7584,1,2013,0.05721675266666666,3,interpolate
2013-04-30,7632,1,2013,0.0574478925,4,interpolate
2013-05-31,7680,1,2013,0.05767903233333333,5,interpolate
2013-06-30,7728,1,2013,0.05791017216666666,6,interpolate
2013-07-31,7776,1,2013,0.058141312,7,interpolate
2013-08-31,7824,1,2013,0.05837245183333333,8,interpolate
2013-09-30,7872,1,2013,0.05860359166666666,9,interpolate
2013-10-31,7920,1,2013,0.058834731499999994,10,interpolate
2013-11-30,7968,1,2013,0.059065871333333325,11,interpolate
2013-12-31,8016,1,2013,0.05929701116666666,12,interpolate
2014-01-31,8064,1,2014,0.059528150999999994,1,real
2014-02-28,8112,1,2014,0.05968417549999999,2,interpolate
2014-03-31,8160,1,2014,0.059840199999999996,3,interpolate
2014-04-30,8208,1,2014,0.059996224499999994,4,interpolate
2014-05-31,8256,1,2014,0.060152249,5,interpolate
2014-06-30,8304,1,2014,0.060308273499999995,6,interpolate
2014-07-31,8352,1,2014,0.060464298,7,interpolate
2014-08-31,8400,1,2014,0.0606203225,8,interpolate
2014-09-30,8448,1,2014,0.060776346999999994,9,interpolate
2014-10-31,8496,1,2014,0.0609323715,10,interpolate
2014-11-30,8544,1,2014,0.061088395999999996,11,interpolate
2014-12-31,8592,1,2014,0.0612444205,12,interpolate
2015-01-31,8640,1,2015,0.061400445,1,real
2015-02-28,8688,1,2015,0.06158782433333333,2,interpolate
2015-03-31,8736,1,2015,0.06177520366666667,3,interpolate
2015-04-30,8784,1,2015,0.061962583,4,interpolate
2015-05-31,8832,1,2015,0.06214996233333333,5,interpolate
2015-06-30,8880,1,2015,0.062337341666666664,6,interpolate
2015-07-31,8928,1,2015,0.062524721,7,interpolate
2015-08-31,8976,1,2015,0.06271210033333333,8,interpolate
2015-09-30,9024,1,2015,0.06289947966666666,9,interpolate
2015-10-31,9072,1,2015,0.063086859,10,interpolate
2015-11-30,9120,1,2015,0.06327423833333333,11,interpolate
2015-12-31,9168,1,2015,0.06346161766666666,12,interpolate
2016-01-31,9216,1,2016,0.063648997,1,real
2016-02-29,9264,1,2016,0.06414092741666666,2,interpolate
2016-03-31,9312,1,2016,0.06463285783333333,3,interpolate
2016-04-30,9360,1,2016,0.06512478825,4,interpolate
2016-05-31,9408,1,2016,0.06561671866666667,5,interpolate
2016-06-30,9456,1,2016,0.06610864908333333,6,interpolate
2016-07-31,9504,1,2016,0.0666005795,7,interpolate
2016-08-31,9552,1,2016,0.06709250991666667,8,interpolate
2016-09-30,9600,1,2016,0.06758444033333333,9,interpolate
2016-10-31,9648,1,2016,0.06807637075,10,interpolate
2016-11-30,9696,1,2016,0.06856830116666666,11,interpolate
2016-12-31,9744,1,2016,0.06906023158333334,12,interpolate
2017-01-31,9792,1,2017,0.069552162,1,real
2017-02-28,9840,1,2017,0.06976114891666667,2,interpolate
2017-03-31,9888,1,2017,0.06997013583333334,3,interpolate
2017-04-30,9936,1,2017,0.07017912275,4,interpolate
2017-05-31,9984,1,2017,0.07038810966666667,5,interpolate
2017-06-30,10032,1,2017,0.07059709658333334,6,interpolate
2017-07-31,10080,1,2017,0.0708060835,7,interpolate
2017-08-31,10128,1,2017,0.07101507041666666,8,interpolate
2017-09-30,10176,1,2017,0.07122405733333333,9,interpolate
2017-10-31,10224,1,2017,0.07143304425,10,interpolate
2017-11-30,10272,1,2017,0.07164203116666666,11,interpolate
2017-12-31,10320,1,2017,0.07185101808333333,12,interpolate
2018-01-31,10368,1,2018,0.072060005,1,real
2018-02-28,10416,1,2018,0.07225645,2,interpolate
2018-03-31,10464,1,2018,0.07245289499999999,3,interpolate
2018-04-30,10512,1,2018,0.07264933999999999,4,interpolate
2018-05-31,10560,1,2018,0.072845785,5,interpolate
2018-06-30,10608,1,2018,0.07304223,6,interpolate
2018-07-31,10656,1,2018,0.073238675,7,interpolate
2018-08-31,10704,1,2018,0.07343511999999999,8,interpolate
2018-09-30,10752,1,2018,0.073631565,9,interpolate
2018-10-31,10800,1,2018,0.07382801,10,interpolate
2018-11-30,10848,1,2018,0.07402445499999999,11,interpolate
2018-12-31,10896,1,2018,0.07422089999999999,12,interpolate
2019-01-31,10944,1,2019,0.074417345,1,real
2019-02-28,10992,1,2019,0.07463865927332022,2,interpolate
2019-03-31,11040,1,2019,0.07485997354664047,3,interpolate
2019-04-30,11088,1,2019,0.0750812878199607,4,interpolate
2019-05-31,11136,1,2019,0.07530260209328092,5,interpolate
2019-06-30,11184,1,2019,0.07552391636660115,6,interpolate
2019-07-31,11232,1,2019,0.07574523063992139,7,interpolate
2019-08-31,11280,1,2019,0.07596654491324162,8,interpolate
2019-09-30,11328,1,2019,0.07618785918656185,9,interpolate
2019-10-31,11376,1,2019,0.07640917345988207,10,interpolate
2019-11-30,11424,1,2019,0.07663048773320232,11,interpolate
2019-12-31,11472,1,2019,0.07685180200652254,12,calculated
2000-01-31,1,2,2000,0.0,1,real
2000-02-29,49,2,2000,0.00024224925,2,interpolate
2000-03-31,97,2,2000,0.0004844985,3,interpolate
2000-04-30,145,2,2000,0.00072674775,4,interpolate
2000-05-31,193,2,2000,0.000968997,5,interpolate
2000-06-30,241,2,2000,0.00121124625,6,interpolate
2000-07-31,289,2,2000,0.0014534955,7,interpolate
2000-08-31,337,2,2000,0.00169574475,8,interpolate
2000-09-30,385,2,2000,0.001937994,9,interpolate
2000-10-31,433,2,2000,0.00218024325,10,interpolate
2000-11-30,481,2,2000,0.0024224925,11,interpolate
2000-12-31,529,2,2000,0.00266474175,12,interpolate
2001-01-31,577,2,2001,0.002906991,1,real
2001-02-28,625,2,2001,0.0031023405833333333,2,interpolate
2001-03-31,673,2,2001,0.0032976901666666664,3,interpolate
2001-04-30,721,2,2001,0.00349303975,4,interpolate
2001-05-31,769,2,2001,0.003688389333333333,5,interpolate
2001-06-30,817,2,2001,0.0038837389166666665,6,interpolate
2001-07-31,865,2,2001,0.0040790884999999995,7,interpolate
2001-08-31,913,2,2001,0.0042744380833333335,8,interpolate
2001-09-30,961,2,2001,0.0044697876666666666,9,interpolate
2001-10-31,1009,2,2001,0.00466513725,10,interpolate
2001-11-30,1057,2,2001,0.0048604868333333336,11,interpolate
2001-12-31,1105,2,2001,0.005055836416666666,12,interpolate
2002-01-31,1153,2,2002,0.005251186,1,real
2002-02-28,1201,2,2002,0.005336314833333333,2,interpolate
2002-03-31,1249,2,2002,0.005421443666666666,3,interpolate
2002-04-30,1297,2,2002,0.005506572499999999,4,interpolate
2002-05-31,1345,2,2002,0.005591701333333333,5,interpolate
2002-06-30,1393,2,2002,0.0056768301666666665,6,interpolate
2002-07-31,1441,2,2002,0.005761959,7,interpolate
2002-08-31,1489,2,2002,0.005847087833333333,8,interpolate
2002-09-30,1537,2,2002,0.005932216666666666,9,interpolate
2002-10-31,1585,2,2002,0.0060173455,10,interpolate
2002-11-30,1633,2,2002,0.006102474333333333,11,interpolate
2002-12-31,1681,2,2002,0.006187603166666666,12,interpolate
2003-01-31,1729,2,2003,0.006272732,1,real
2003-02-28,1777,2,2003,0.006431166166666666,2,interpolate
2003-03-31,1825,2,2003,0.006589600333333333,3,interpolate
2003-04-30,1873,2,2003,0.0067480345,4,interpolate
2003-05-31,1921,2,2003,0.006906468666666666,5,interpolate
2003-06-30,1969,2,2003,0.007064902833333333,6,interpolate
2003-07-31,2017,2,2003,0.007223337,7,interpolate
2003-08-31,2065,2,2003,0.007381771166666667,8,interpolate
2003-09-30,2113,2,2003,0.0075402053333333335,9,interpolate
2003-10-31,2161,2,2003,0.0076986395,10,interpolate
2003-11-30,2209,2,2003,0.007857073666666667,11,interpolate
2003-12-31,2257,2,2003,0.008015507833333333,12,interpolate
2004-01-31,2305,2,2004,0.008173942,1,real
2004-02-29,2353,2,2004,0.00840594425,2,interpolate
2004-03-31,2401,2,2004,0.0086379465,3,interpolate
2004-04-30,2449,2,2004,0.00886994875,4,interpolate
2004-05-31,2497,2,2004,0.009101951,5,interpolate
2004-06-30,2545,2,2004,0.00933395325,6,interpolate
2004-07-31,2593,2,2004,0.0095659555,7,interpolate
2004-08-31,2641,2,2004,0.009797957749999999,8,interpolate
2004-09-30,2689,2,2004,0.01002996,9,interpolate
2004-10-31,2737,2,2004,0.01026196225,10,interpolate
2004-11-30,2785,2,2004,0.0104939645,11,interpolate
2004-12-31,2833,2,2004,0.01072596675,12,interpolate
2005-01-31,2881,2,2005,0.010957969,1,real
2005-02-28,2929,2,2005,0.0112239965,2,interpolate
2005-03-31,2977,2,2005,0.011490024,3,interpolate
2005-04-30,3025,2,2005,0.0117560515,4,interpolate
2005-05-31,3073,2,2005,0.012022079,5,interpolate
2005-06-30,3121,2,2005,0.0122881065,6,interpolate
2005-07-31,3169,2,2005,0.012554134,7,interpolate
2005-08-31,3217,2,2005,0.0128201615,8,interpolate
2005-09-30,3265,2,2005,0.013086189,9,interpolate
2005-10-31,3313,2,2005,0.0133522165,10,interpolate
2005-11-30,3361,2,2005,0.013618244,11,interpolate
2005-12-31,3409,2,2005,0.0138842715,12,interpolate
2006-01-31,3457,2,2006,0.014150299,1,real
2006-02-28,3505,2,2006,0.01426209625,2,interpolate
2006-03-31,3553,2,2006,0.0143738935,3,interpolate
2006-04-30,3601,2,2006,0.01448569075,4,interpolate
2006-05-31,3649,2,2006,0.014597488,5,interpolate
2006-06-30,3697,2,2006,0.01470928525,6,interpolate
2006-07-31,3745,2,2006,0.0148210825,7,interpolate
2006-08-31,3793,2,2006,0.014932879750000001,8,interpolate
2006-09-30,3841,2,2006,0.015044677000000001,9,interpolate
2006-10-31,3889,2,2006,0.015156474250000001,10,interpolate
2006-11-30,3937,2,2006,0.015268271500000001,11,interpolate
2006-12-31,3985,2,2006,0.015380068750000002,12,interpolate
2007-01-31,4033,2,2007,0.015491866000000002,1,real
2007-02-28,4081,2,2007,0.015785087500000003,2,interpolate
2007-03-31,4129,2,2007,0.016078309000000002,3,interpolate
2007-04-30,4177,2,2007,0.016371530500000002,4,interpolate
2007-05-31,4225,2,2007,0.016664752,5,interpolate
2007-06-30,4273,2,2007,0.0169579735,6,interpolate
2007-07-31,4321,2,2007,0.017251195,7,interpolate
2007-08-31,4369,2,2007,0.0175444165,8,interpolate
2007-09-30,4417,2,2007,0.017837638,9,interpolate
2007-10-31,4465,2,2007,0.0181308595,10,interpolate
2007-11-30,4513,2,2007,0.018424081,11,interpolate
2007-12-31,4561,2,2007,0.018717302499999998,12,interpolate
2008-01-31,4609,2,2008,0.019010523999999997,1,real
2008-02-29,4657,2,2008,0.019248437999999996,2,interpolate
2008-03-31,4705,2,2008,0.019486352,3,interpolate
2008-04-30,4753,2,2008,0.019724265999999997,4,interpolate
2008-05-31,4801,2,2008,0.01996218,5,interpolate
2008-06-30,4849,2,2008,0.020200094,6,interpolate
2008-07-31,4897,2,2008,0.020438008,7,interpolate
2008-08-31,4945,2,2008,0.020675922,8,interpolate
2008-09-30,4993,2,2008,0.020913835999999998,9,interpolate
2008-10-31,5041,2,2008,0.02115175,10,interpolate
2008-11-30,5089,2,2008,0.021389664,11,interpolate
2008-12-31,5137,2,2008,0.021627578,12,interpolate
2009-01-31,5185,2,2009,0.021865492,1,real
2009-02-28,5233,2,2009,0.021991740083333332,2,interpolate
2009-03-31,5281,2,2009,0.022117988166666665,3,interpolate
2009-04-30,5329,2,2009,0.02224423625,4,interpolate
2009-05-31,5377,2,2009,0.022370484333333333,5,interpolate
2009-06-30,5425,2,2009,0.022496732416666665,6,interpolate
2009-07-31,5473,2,2009,0.0226229805,7,interpolate
2009-08-31,5521,2,2009,0.022749228583333333,8,interpolate
2009-09-30,5569,2,2009,0.022875476666666665,9,interpolate
2009-10-31,5617,2,2009,0.023001724749999997,10,interpolate
2009-11-30,5665,2,2009,0.02312797283333333,11,interpolate
2009-12-31,5713,2,2009,0.023254220916666665,12,interpolate
2010-01-31,5761,2,2010,0.023380468999999997,1,real
2010-02-28,5809,2,2010,0.023665413999999996,2,interpolate
2010-03-31,5857,2,2010,0.023950358999999997,3,interpolate
2010-04-30,5905,2,2010,0.024235304,4,interpolate
2010-05-31,5953,2,2010,0.024520248999999997,5,interpolate
2010-06-30,6001,2,2010,0.024805193999999996,6,interpolate
2010-07-31,6049,2,2010,0.025090138999999997,7,interpolate
2010-08-31,6097,2,2010,0.025375084,8,interpolate
2010-09-30,6145,2,2010,0.025660028999999997,9,interpolate
2010-10-31,6193,2,2010,0.025944973999999996,10,interpolate
2010-11-30,6241,2,2010,0.026229918999999997,11,interpolate
2010-12-31,6289,2,2010,0.026514864,12,interpolate
2011-01-31,6337,2,2011,0.026799808999999997,1,real
2011-02-28,6385,2,2011,0.02716200058333333,2,interpolate
2011-03-31,6433,2,2011,0.027524192166666663,3,interpolate
2011-04-30,6481,2,2011,0.027886383749999997,4,interpolate
2011-05-31,6529,2,2011,0.02824857533333333,5,interpolate
2011-06-30,6577,2,2011,0.028610766916666665,6,interpolate
2011-07-31,6625,2,2011,0.0289729585,7,interpolate
2011-08-31,6673,2,2011,0.02933515008333333,8,interpolate
2011-09-30,6721,2,2011,0.029697341666666665,9,interpolate
2011-10-31,6769,2,2011,0.03005953325,10,interpolate
2011-11-30,6817,2,2011,0.03042172483333333,11,interpolate
2011-12-31,6865,2,2011,0.030783916416666664,12,interpolate
2012-01-31,6913,2,2012,0.031146108,1,real
2012-02-29,6961,2,2012,0.031337122333333335,2,interpolate
2012-03-31,7009,2,2012,0.031528136666666665,3,interpolate
2012-04-30,7057,2,2012,0.031719151,4,interpolate
2012-05-31,7105,2,2012,0.03191016533333333,5,interpolate
2012-06-30,7153,2,2012,0.03210117966666667,6,interpolate
2012-07-31,7201,2,2012,0.032292193999999996,7,interpolate
2012-08-31,7249,2,2012,0.03248320833333333,8,interpolate
2012-09-30,7297,2,2012,0.03267422266666667,9,interpolate
2012-10-31,7345,2,2012,0.032865237,10,interpolate
2012-11-30,7393,2,2012,0.033056251333333335,11,interpolate
2012-12-31,7441,2,2012,0.033247265666666664,12,interpolate
2013-01-31,7489,2,2013,0.03343828,1,real
2013-02-28,7537,2,2013,0.033693009583333336,2,interpolate
2013-03-31,7585,2,2013,0.03394773916666667,3,interpolate
2013-04-30,7633,2,2013,0.03420246875,4,interpolate
2013-05-31,7681,2,2013,0.034457198333333335,5,interpolate
2013-06-30,7729,2,2013,0.03471192791666667,6,interpolate
2013-07-31,7777,2,2013,0.0349666575,7,interpolate
2013-08-31,7825,2,2013,0.03522138708333333,8,interpolate
2013-09-30,7873,2,2013,0.03547611666666667,9,interpolate
2013-10-31,7921,2,2013,0.035730846250000003,10,interpolate
2013-11-30,7969,2,2013,0.03598557583333334,11,interpolate
2013-12-31,8017,2,2013,0.03624030541666667,12,interpolate
2014-01-31,8065,2,2014,0.036495035,1,real
2014-02-28,8113,2,2014,0.03661721058333334,2,interpolate
2014-03-31,8161,2,2014,0.036739386166666665,3,interpolate
2014-04-30,8209,2,2014,0.03686156175,4,interpolate
2014-05-31,8257,2,2014,0.036983737333333336,5,interpolate
2014-06-30,8305,2,2014,0.03710591291666667,6,interpolate
2014-07-31,8353,2,2014,0.037228088500000006,7,interpolate
2014-08-31,8401,2,2014,0.037350264083333334,8,interpolate
2014-09-30,8449,2,2014,0.03747243966666667,9,interpolate
2014-10-31,8497,2,2014,0.037594615250000005,10,interpolate
2014-11-30,8545,2,2014,0.03771679083333333,11,interpolate
2014-12-31,8593,2,2014,0.03783896641666667,12,interpolate
2015-01-31,8641,2,2015,0.037961142,1,real
2015-02-28,8689,2,2015,0.03829127883333334,2,interpolate
2015-03-31,8737,2,2015,0.03862141566666667,3,interpolate
2015-04-30,8785,2,2015,0.0389515525,4,interpolate
2015-05-31,8833,2,2015,0.039281689333333335,5,interpolate
2015-06-30,8881,2,2015,0.03961182616666667,6,interpolate
2015-07-31,8929,2,2015,0.039941963,7,interpolate
2015-08-31,8977,2,2015,0.04027209983333333,8,interpolate
2015-09-30,9025,2,2015,0.040602236666666666,9,interpolate
2015-10-31,9073,2,2015,0.0409323735,10,interpolate
2015-11-30,9121,2,2015,0.041262510333333335,11,interpolate
2015-12-31,9169,2,2015,0.04159264716666666,12,interpolate
2016-01-31,9217,2,2016,0.041922784,1,real
2016-02-29,9265,2,2016,0.04242002558333333,2,interpolate
2016-03-31,9313,2,2016,0.04291726716666666,3,interpolate
2016-04-30,9361,2,2016,0.04341450875,4,interpolate
2016-05-31,9409,2,2016,0.04391175033333333,5,interpolate
2016-06-30,9457,2,2016,0.04440899191666666,6,interpolate
2016-07-31,9505,2,2016,0.044906233499999997,7,interpolate
2016-08-31,9553,2,2016,0.04540347508333333,8,interpolate
2016-09-30,9601,2,2016,0.04590071666666666,9,interpolate
2016-10-31,9649,2,2016,0.046397958249999996,10,interpolate
2016-11-30,9697,2,2016,0.04689519983333333,11,interpolate
2016-12-31,9745,2,2016,0.04739244141666666,12,interpolate
2017-01-31,9793,2,2017,0.047889682999999995,1,real
2017-02-28,9841,2,2017,0.04809882658333333,2,interpolate
2017-03-31,9889,2,2017,0.04830797016666666,3,interpolate
2017-04-30,9937,2,2017,0.04851711374999999,4,interpolate
2017-05-31,9985,2,2017,0.04872625733333333,5,interpolate
2017-06-30,10033,2,2017,0.04893540091666666,6,interpolate
2017-07-31,10081,2,2017,0.0491445445,7,interpolate
2017-08-31,10129,2,2017,0.049353688083333326,8,interpolate
2017-09-30,10177,2,2017,0.04956283166666666,9,interpolate
2017-10-31,10225,2,2017,0.049771975249999996,10,interpolate
2017-11-30,10273,2,2017,0.049981118833333324,11,interpolate
2017-12-31,10321,2,2017,0.05019026241666666,12,interpolate
2018-01-31,10369,2,2018,0.050399405999999994,1,real
2018-02-28,10417,2,2018,0.05082413041666666,2,interpolate
2018-03-31,10465,2,2018,0.05124885483333333,3,interpolate
2018-04-30,10513,2,2018,0.05167357925,4,interpolate
2018-05-31,10561,2,2018,0.052098303666666665,5,interpolate
2018-06-30,10609,2,2018,0.05252302808333333,6,interpolate
2018-07-31,10657,2,2018,0.0529477525,7,interpolate
2018-08-31,10705,2,2018,0.05337247691666667,8,interpolate
2018-09-30,10753,2,2018,0.053797201333333336,9,interpolate
2018-10-31,10801,2,2018,0.054221925750000004,10,interpolate
2018-11-30,10849,2,2018,0.05464665016666667,11,interpolate
2018-12-31,10897,2,2018,0.05507137458333334,12,interpolate
2019-01-31,10945,2,2019,0.05549609900000001,1,real
2019-02-28,10993,2,2019,0.056006290040564344,2,interpolate
2019-03-31,11041,2,2019,0.056516481081128674,3,interpolate
